Order ID,Order Date,Region,Category,Product,Quantity,Unit Price,Revenue,Profit,Customer Segment
11743,2025-11-21,Dammam,home & kitchen,Air Fryer,2,,762.8,304.9,Online
11854,2025-12-07,  DAMMAM  ,Home & Kitchen,Vacuum Cleaner,1,629.96,629.96,279.89,Wholesale
13055,2026-06-26,Madinah,Sports,Cycling Helmet,3,184.06,552.18,233.68,Retail
11820,2025-12-02,Riyadh,beauty,Hair Dryer,5,181.86,$909.30,SAR 347.76,Retail
12117,2026-01-18,Madinah,Sports,Dumbbell Set,,243.62,1461.72,645.86,Retail
11606,2025-10-29,Madinah,Home & Kitchen,Non-stick Pan Set,6,252.42,1514.52,SAR 569.26,Wholesale
12856,2026-05-22,Jeddah,Beauty,Perfume,5,331.75,"$1,658.75",590.23,Wholesale
11054,2025-07-25,Riyadh,Beauty,Makeup Kit,4,229.97,919.88,SAR 365.15,
12382,2026-03-03,Jeddah,Beauty,Hair Dryer,1,170.82,170.82,62.18,Wholesale
10505,2025-04-26,Riyadh,Clothing,Leather Belt,3,111.9,335.7,95.85,Retail
10020,2025-02-03,Dammam,Electronics,Bluetooth Speaker,4,186.97,$747.88,336.13,Online
11995,2025-12-29,Makkah,electronics,Laptop Stand,3,75.73,227.19,83.23,Online
10154,2025-02-28,Makkah,Beauty,Face Serum,2,128.4,256.8,99.89,
10823,2025-06-18,Jeddah,Clothing,Running Shoes,6,321.81,1930.86,696.95,Retail
12857,2026-05-22,Madinah,Sports,Cycling Helmet,5,199.26,$996.30,382.55,Wholesale
11126,2025-08-07,Makkah,home & kitchen,Coffee Maker,5,253.97,1269.85,532.71,Retail
12778,2026-05-09,Makkah,Electronics,Smart Watch,2,406.49,812.98,309.5,Retail
11056,2025-07-26,Dammam,Clothing,Cotton T-Shirt,6,60.35,$362.10,156.47,Wholesale
13252,2026-07-30,Riyadh,beauty,Perfume,4,336.8,1347.2,433.06,Online
10908,2025-06-30,Makkah,Beauty,Hair Dryer,1,148.55,148.55,46.49,Wholesale
12691,2026-04-25,Makkah,Home & Kitchen,Coffee Maker,5,317.45,1587.25,459.05,Online
10692,2025-05-28,Madinah,sports,Sports Bottle,3,44.74,134.22,47.22,Online
10044,2025-02-08,Makkah,Clothing,Running Shoes,4,292.73,1170.92,377.25,Retail
12206,2026-02-02,Makkah,Beauty,Face Serum,3,136.47,409.41,160.67,Wholesale
13175,2026-07-18,Riyadh,Sports,Sports Bottle,2,39.14,78.28,26.67,Retail
10427,2025-04-14,Makkah,Beauty,Hair Dryer,5,168.24,841.2,288.76,Wholesale
12016,2025-12-31,Jeddah,Clothing,Leather Belt,1,,92.27,SAR 39.08,Online
10881,2025-06-27,Madinah,Electronics,Smart Watch,5,394.04,1970.2,SAR 779.92,Retail
11089,2025-08-01,Jeddah,Beauty,Makeup Kit,3,232.47,697.41,283.43,Online
10832,2025-06-19,Jeddah,clothing,Cotton T-Shirt,2,66.77,133.54,37.72,Online
12111,2026-01-17,Makkah,Sports,Yoga Mat,5,82.12,410.6,SAR 139.06,Online
11060,2025-07-27,Dammam,Beauty,Makeup Kit,4,233.6,$934.40,269.55,Wholesale
10525,2025-04-30,Riyadh,Sports,Cycling Helmet,5,218.92,1094.6,366.49,Online
12086,2026-01-13,Makkah,Sports,Resistance Bands,1,65.01,65.01,22.58,Online
12454,2026-03-14,Jeddah,Sports,Resistance Bands,3,55.11,165.33,47.03,Wholesale
10479,2025-04-22,  DAMMAM  ,Clothing,Cotton T-Shirt,4,65.71,262.84,93.44,Online
11351,2025-09-18,Jeddah,Electronics,Smart Watch,,413.85,2069.25,SAR 651.42,Retail
12329,2026-02-22,Dammam,Sports,Resistance Bands,2,55.34,110.68,39.39,Wholesale
12551,2026-03-29,Jeddah,Clothing,Denim Jacket,5,261.57,"$1,307.85",555.65,
